부모 카테고리	카테고리	영문명	한글명	가격(1oz)
위스키	스코틀랜드	the GlenLivet 12y	더 글렌리벳 12년	14.0
위스키	스코틀랜드	the GlenLivet 15y	더 글렌리벳 15년	20.0
위스키	스코틀랜드	the GlenLivet 18y	더 글렌리벳 18년	33.0
위스키	스코틀랜드	the GlenLivet 16y Nadura	더 글렌리벳 16년 나두라	55.0
위스키	스코틀랜드	GlenFiddich 12y	글렌피딕 12년	13.0
위스키	스코틀랜드	GlenFiddich 15y	글렌피딕 15년	18.0
위스키	스코틀랜드	GlenFiddich 18y	글렌피딕 18년	27.0
위스키	스코틀랜드	GlenAllachie 8y	글렌알라키 8년	13.0
위스키	스코틀랜드	GlenAllachie 10y CS	글렌알라키 10년 CS	23.0
위스키	스코틀랜드	GlenAllachie 12y	글렌알라키 12년	17.0
위스키	스코틀랜드	GlenAllachie 15y	글렌알라키 15년	26.0
위스키	스코틀랜드	the Macallan DoubleOak 12y	더 맥캘란 더블오크 12년	16.0
위스키	스코틀랜드	the Macallan SherryOak 12y	더 맥캘란 쉐리오크 12년	18.0
위스키	스코틀랜드	the Macallan Harmony Arabica	더 맥캘란 하모니 아라비카	39.0
위스키	스코틀랜드	Balvenie DoubleWood 12y	발베니 더블우드 12년	16.0
위스키	스코틀랜드	Balvenie Caribbean Cask 14y	발베니 캐리비안 캐스크 14년	24.0
위스키	스코틀랜드	Balvenie the Week of Peat	발베니 위크 오브 피트	28.0
위스키	스코틀랜드	Balvenie the Creation of the Classic	발베니 더 크리에이션 오브 더 클래식	28.0
위스키	스코틀랜드	Tamdhu 12y	탐두 12년	16.0
위스키	스코틀랜드	Tamdhu 15y	탐두 15년	28.0
위스키	스코틀랜드	Benromach 10y	벤로막 10년	12.0
위스키	스코틀랜드	Benromach 15y	벤로막 15년	23.0
위스키	스코틀랜드	Aberlour 12y	아벨라워 12년	19.0
위스키	스코틀랜드	Aberlour A'bunadh	아벨라워 아브나흐	29.0
위스키	스코틀랜드	Glenrothes 12y	글렌로티스 12년	13.0
위스키	스코틀랜드	BenRiach 12y	벤리악 12년	14.0
위스키	스코틀랜드	Glenfarclas 105	글렌파클라스 105	17.0
위스키	스코틀랜드	Glen Grant 15y	글렌 그란트 15년	19.0
위스키	스코틀랜드	Lum Reek 12y CS	럼릭 12년 CS	20.0
위스키	스코틀랜드	Mortlach 16y	몰트락 16년	21.0
위스키	스코틀랜드	Knockando 18y	노칸두 18년	26.0
위스키	스코틀랜드	Aran Barrel Reserve	아란 배럴 리저브	10.0
위스키	스코틀랜드	Aran 10y	아란 10년	15.0
위스키	스코틀랜드	Aran 17y	아란 17년	49.0
위스키	스코틀랜드	Aran Sauterne Cask Finish	아란 소테른 캐스크 피니쉬	19.0
위스키	스코틀랜드	Aran Port Cask Finish	아란 포트 캐스크 피니쉬	19.0
위스키	스코틀랜드	Aran Amarone Cask Finish	아란 아마로네 캐스크 피니쉬	19.0
위스키	스코틀랜드	Aran Sherry Finish	아란 쉐리 피니쉬	21.0
위스키	스코틀랜드	Aran Machrie Moor	아란 마크리 무어	21.0
위스키	스코틀랜드	Aran Machrie Moor CS	아란 마크리 무어 CS	24.0
위스키	스코틀랜드	Talisker SKY	탈리스커 스카이	12.0
위스키	스코틀랜드	Talisker 10y	탈리스커 10년	12.0
위스키	스코틀랜드	Talisker Storm	탈리스커 스톰	15.0
위스키	스코틀랜드	Talisker Wilder Seas	탈리스커 와일더 씨	19.0
위스키	스코틀랜드	Talisker Distillers Edition	탈리스커 디스탈리스 에디션	24.0
위스키	스코틀랜드	Ledaig 10y	레칙 10년	16.0
위스키	아일랜드	Jameson	제임슨	6.0
위스키	아일랜드	NatterJack CS	네터잭 CS	18.0
위스키	아일랜드	Red Breast 12y	레드 브레스트 12년	17.0
위스키	아일랜드	Red Breast 15y	레드 브레스트 15년	24.0
위스키	유럽	High Coast Peat Sherry 45ppm #1	하이 코스트 피트 쉐리 45ppm #1	26.0
위스키	유럽	High Coast Private Cask #4	하이 코스트 프라이빗 캐스크 #4	26.0
위스키	유럽	High Coast Oloroso 11y	하이 코스트 올로로소 11년	29.0
위스키	스코틀랜드	the Whiskey Agency Glen Elgin 12y	더 위스키 에이전시 글렌 엘긴 12년	32.0
위스키	스코틀랜드	the Whiskey Agency Aberlour 27y	더 위스키 에이전시 아벨라워 27년	68.0
위스키	스코틀랜드	Sansibar Finest Glen Burgie 12y	산시바 파이니스트 글렌 버기 12년	30.0
위스키	유럽	Sansibar High Coast 11y	산시바 하이코스트 11년	36.0
위스키	스코틀랜드	Zodiac Series Taurus Glen Elgin 14y	조디악 별자리 시리즈 황소자리 글렌 엘긴 14년	33.0
위스키	기타	Manager Kim 2 FourSquare 17y	김과장 2 포스퀘어 17년	39.0
위스키	스코틀랜드	Carn Mor Glen Rothes	칸 모어 글렌로티스	36.0
위스키	스코틀랜드	Ardbeg Spectacular	아드벡 스펙타큘러	27.0
위스키	스코틀랜드	Sansibar 21y	산시바 21년	26.0
위스키	스코틀랜드	Secret Orkney 24y Highland Park	시크릿 오크니 24년 하이랜드 파크	59.0
위스키	스코틀랜드	Eld Vatten Ben Nevis 16y	엘드 바튼 벤 네비스 16년	49.0
위스키	스코틀랜드	Eld Vatten Bruichladdich 11y	엘드 바튼 브룩라디 11년	52.0
위스키	스코틀랜드	Eld Vatten Craigellachie	엘드 바튼 크라이겔라키	36.0
위스키	스코틀랜드	Eld Vatten Blended 8y	엘드 바튼 블렌디드 8년	19.0
위스키	유럽	Eld Vatten Smögen 10y	엘드 바튼 스미겐 10년	49.0
위스키	스코틀랜드	North Star Glen Garioch 8y	노스 스타 글렌 기어리 8년	31.0
위스키	스코틀랜드	North Star GlenAllachie 11y	노스 스타 글렌알라키 11년	32.0
위스키	스코틀랜드	GlenAllachie RottenGlasses Secret Cask	글렌알라키 로튼글라스 시크릿 캐스크	42.0
위스키	스코틀랜드	Laphroaig 10y	라프로익 10년	13.0
위스키	스코틀랜드	Laphroaig Quarter Cask	라프로익 쿼터 캐스크	14.0
위스키	스코틀랜드	Laphroaig 10y CS	라프로익 10년 CS	29.0
위스키	스코틀랜드	Lagavulin 8y	라가불린 8년	18.0
위스키	스코틀랜드	Lagavulin 16y	라가불린 16년	26.0
위스키	스코틀랜드	Bowmore 12y	보모어 12년	12.0
위스키	스코틀랜드	Bowmore 15y	보모어 15년	18.0
위스키	스코틀랜드	Bowmore 18y	보모어 18년	26.0
위스키	스코틀랜드	Ardbeg Wee Beastie	아드벡 위 비스티	12.0
위스키	스코틀랜드	Ardbeg 10	아드벡 10	15.0
위스키	스코틀랜드	Ardbeg an oa	아드벡 언 오	16.0
위스키	스코틀랜드	Ardbeg Uigeadail	아드벡 우거다일	23.0
위스키	스코틀랜드	Ardbeg Corryvreckan	아드벡 코리브레칸	27.0
위스키	스코틀랜드	Ardbeg Heavy Vapours	아드벡 헤비 베이퍼스	39.0
위스키	스코틀랜드	BrookLadie Scottish Barley	브룩라디 스코티시 발리	16.0
위스키	스코틀랜드	Port Charlotte 10	포트샬롯 10	19.0
위스키	스코틀랜드	Port Charlotte PMC 01	포트샬롯 PMC 01	37.0
위스키	스코틀랜드	Port Charlotte PC6	포트샬롯 PC6	59.0
위스키	스코틀랜드	Octomore	옥토모어	49.0 ~ 59.0
위스키	스코틀랜드	Kilhoman Machir Bay	킬호만 마키어 베이	17.0
위스키	스코틀랜드	Kilhoman Sanaig	킬호만 사닉	19.0
위스키	스코틀랜드	Kilhoman KOR.edition Batch 1	킬호만 스몰배치 코리안 에디션 배치1	25.0
위스키	스코틀랜드	Kilhoman Loch Gorm 2023	킬호만 로크곰 2023	32.0
위스키	스코틀랜드	Caol ila 12y	쿨일라 12년	16.0
위스키	스코틀랜드	Caol ila Distiller's Edition	쿨일라 디스탈리스 에디션	22.0
위스키	스코틀랜드	Smoky Scot	스모키 스캇	10.0
위스키	스코틀랜드	Bunnahabhain 12y	부나하벤 12년	15.0
위스키	스코틀랜드	ileach CS	일리악 CS	16.0
위스키	스코틀랜드	Finlaggan CS	핀라간 CS	18.0
위스키	스코틀랜드	Gordon & Macphail Discovery Bunnahabhain 11y	고든 앤 맥페일 디스커버리 부나하벤 11년	33.0
위스키	아시아	Kavalan ConcerMaster Port	카발란 콘서트마스터 포트	24.0
위스키	아시아	Kavalan Classic	카발란 클래식	26.0
위스키	아시아	Kavalan Triple Sherry Cask	카발란 트리플 쉐리 캐스크	27.0
위스키	아시아	Kavalan Solist Oloroso Sherry	카발란 솔리스트 올로로소 쉐리	39.0
위스키	아시아	Kavalan Solist Port	카발란 솔리스트 포트	39.0
위스키	아시아	Kavalan Solist Vinho Barrique	카발란 솔리스트 비노 바리끄	43.0
위스키	아시아	Kavalan Solist Fino Sherry	카발란 솔리스트 피노 쉐리	49.0
위스키	아시아	Kavalan Solist Madeira	카발란 솔리스트 마데이라	49.0
위스키	스코틀랜드	Glen Goyne CS Batch 10	글렌 고인 CS 배치 10	26.0
위스키	스코틀랜드	Glen Dronach 12y	글렌 드로낙 12년	14.0
위스키	스코틀랜드	Glen Dronach 15y	글렌 드로낙 15년	29.0
위스키	스코틀랜드	(Old) GlenDronach 21y Billy Walker	(구형) 글랜드로낙 21년 빌리워커	64.0
위스키	스코틀랜드	GlenDronach Traditionally Peated	(구형) 글랜드로낙 트레디셔널리 피티드	19.0
위스키	스코틀랜드	Glen Dronach Port Wood	글렌 드로낙 포트 우드	22.0
위스키	스코틀랜드	Glen Dronach CS	글렌 드로낙 CS	29.0
위스키	스코틀랜드	Glen Morangie Original 10y	글렌 모렌지 오리지널 10년	12.0
위스키	스코틀랜드	Glen Morangie Original 12y	글렌 모렌지 오리지널 12년	13.0
위스키	스코틀랜드	Glen Morangie Lasanta 12y	글렌 모렌지 라산타 12년	13.0
위스키	스코틀랜드	Glen Morangie Quinta Ruban 14y	글렌 모렌지 퀸타 루반 14년	17.0
위스키	스코틀랜드	Glen Morangie Netar d'or 12y	글렌 모렌지 넥타 도르 12년	18.0
위스키	스코틀랜드	Glen Morangie the Netar 16y	글렌 모렌지 더 넥타 16년	20.0
위스키	스코틀랜드	Glen Morangie 18y	글렌 모렌지 18년	31.0
위스키	스코틀랜드	Glen Morangie Fire & Cane	글렌 모렌지 파이어 & 케인	14.0
위스키	스코틀랜드	Glen Morangie Tail of Tokyo	글렌 모렌지 테일 오브 도쿄	26.0
위스키	스코틀랜드	Glen Morangie Signet	글렌 모렌지 시그넷	39.0
위스키	스코틀랜드	Dalmore 12y	달모어 12년	16.0
위스키	스코틀랜드	Dalmore 12y Sherry Cask	달모어 12년 셰리 캐스크	21.0
위스키	스코틀랜드	Dalmore 15y	달모어 15년	29.0
위스키	스코틀랜드	HighLand Park 12y	하이랜드 파크 12년	14.0
위스키	스코틀랜드	(Old) HighLand Park 18y	(구형) 하이랜드 파크 18년	59.0
위스키	스코틀랜드	Royal Brackla 12y	로얄 브라클라 12년	14.0
위스키	스코틀랜드	Dalwhinnie 15y	달위니 15년	17.0
위스키	스코틀랜드	Oban 14y	오반 14년	19.0
위스키	스코틀랜드	Clynelish 14y	크라이넬리시 14년	18.0
위스키	스코틀랜드	Old Pulteney 15y	올드 폴트니 15년	27.0
위스키	스코틀랜드	GlenKinchie 12y	글렌킨치 12년	15.0
위스키	스코틀랜드	DaftMill Milano Festival 2011	다프트밀 밀라노 페스티벌 2011	99.0
위스키	스코틀랜드	Glen Scotia Double Cask	글렌스코시아 더블캐스크	16.0
위스키	스코틀랜드	Glen Scotia 10y	글렌스코시아 10년	18.0
위스키	스코틀랜드	Longrow 12y Peated	롱로우 12년 피티드	26.0
위스키	스코틀랜드	Kilkerran 12y	킬커란 12년	28.0
위스키	스코틀랜드	SpringBank 10y	스프링 뱅크 10년	35.0
위스키	스코틀랜드	SpringBank 15y	스프링 뱅크 15년	56.0
위스키	스코틀랜드	SpringBank 18y	스프링 뱅크 18년	66.0
위스키	스코틀랜드	SpringBank 10y Amontillado	스프링 뱅크 10년 아몬틸라도	99.0
위스키	미국	Maker's Mark	메이커스 마크	10.0
위스키	미국	Maker's Mark 46	메이커스 마크 46	13.0
위스키	미국	Maker's Mark CS	메이커스 마크 CS	15.0
위스키	미국	Buffalo Trace	버팔로 트레이스	10.0
위스키	미국	Basil Hayden's	베이즐 헤이든	12.0
위스키	미국	Blanton's Single Barrel	블랑톤 싱글배럴	26.0
위스키	미국	1792 Small Batch	1792 스몰 배치	10.0
위스키	미국	1792 Full Proof	1792 풀 프루프	22.0
위스키	미국	Wild Turkey 101	와일드 터키 101	10.0
위스키	미국	Wild Turkey Rare Breed	와일드 터키 레어 브리드	14.0
위스키	미국	Wild Turkey 12y	와일드 터키 12년	19.0
위스키	미국	Russel's 10y	러셀 10년	14.0
위스키	미국	Russel's Reserve Single Barrel	러셀 리저브 싱글배럴	15.0
위스키	미국	Woodford Reserve	우드포드 리저브	12.0
위스키	미국	Woodford Reserve Double Oaked	우드포드 리저브 더블 오크드	18.0
위스키	미국	Jack Daniel's	잭 다니엘	10.0
위스키	미국	Jack Daniel's Single Barrel Select	잭 다니엘 싱글배럴 셀렉트	16.0
위스키	미국	Jack Daniel's Single Barrel Barrel Strength	잭 다니엘 싱글배럴 셀렉트	28.0
위스키	미국	Rowan's Creek	로완스 크릭	19.0
위스키	미국	Noah's Mill	노아스 밀	20.0
위스키	미국	Daviess County Cabernet Sauvignon Cask	데이비스 카운티 까베네 쇼비뇽 캐스크	15.0
위스키	미국	Daviess County French Cask	데이비스 카운티 프렌치 캐스크	15.0
위스키	미국	Jim Beam	짐 빔	5.0
위스키	미국	Knob Creek	납 크릭	10.0
위스키	미국	Baker's	베이커스	14.0
위스키	미국	Booker's	부커스	32.0
위스키	미국	Redemption High Rye	리뎀션 하이 라이	10.0
위스키	미국	Redemption High Rye Single Barrel Bourbon	리뎀션 하이 라이 싱글 배럴 버번	13.0
위스키	미국	Redemption Straight Bourbon Conac Cask Batch 1	리뎀션 스트레이트 버번 꼬냑 캐스크 배치 1	23.0
위스키	미국	Mellow Corn	멜로우 콘	5.0
위스키	미국	Bulleit Bourbon	불렛 버번	10.0
위스키	미국	Elijah Craig Small Batch	일라이저 크레이그 스몰 배치	10.0
위스키	미국	Four Roses Single Barrel	포로지스 싱글 배럴	11.0
위스키	미국	Angel's Envy Port	엔젤스 엔비 포트	12.0
위스키	미국	Rabbit Hole	래빗 홀	12.0
위스키	미국	RedWood Empire Bourbon	레드우드 엠파이어 버번	16.0
위스키	미국	James E Pepper 1776 Barrel Proof Bourbon	제임스 이 페퍼 1776 배럴프루프 버번	19.0
